pattern,count
{'yams'},78
{'cider'},78
{'magazines'},79
{'barbecue sauce'},80
{'melons'},82
{'body spray'},84
{'extra dark chocolate'},88
{'pasta'},90
{'gums'},96
{'eggplant'},96
{'fromage blanc'},101
{'tomato sauce'},104
{'black tea'},106
{'white wine'},114
{'carrots'},115
{'light cream'},116
{'mint'},121
{'mushroom cream sauce'},125
{'protein bar'},128
{'rice'},138
{'strawberries'},141
{'parmesan cheese'},144
{'meatballs'},147
{'muffins'},148
{'almonds'},151
{'fresh tuna'},160
{'energy drink'},161
{'oil'},162
{'french wine'},168
{'energy bar'},170
{'yogurt cake'},170
{'vegetables mix'},173
{'light mayo'},186
{'cereals'},188
"{'mineral water', 'cereals'}",75
{'pepper'},193
{'ham'},193
{'red wine'},200
"{'red wine', 'spaghetti'}",75
"{'red wine', 'mineral water'}",82
{'whole wheat pasta'},210
{'butter'},213
{'tomato juice'},218
{'hot dogs'},220
{'cottage cheese'},222
{'brownies'},233
{'avocado'},237
"{'avocado', 'mineral water'}",82
{'champagne'},282
"{'champagne', 'chocolate'}",78
{'salmon'},297
"{'salmon', 'chocolate'}",80
"{'salmon', 'spaghetti'}",100
"{'salmon', 'mineral water'}",118
{'fresh bread'},307
"{'fresh bread', 'mineral water'}",98
{'cookies'},311
"{'green tea', 'cookies'}",83
"{'french fries', 'cookies'}",89
{'honey'},334
"{'honey', 'spaghetti'}",88
"{'honey', 'mineral water'}",109
{'herb & pepper'},344
"{'herb & pepper', 'eggs'}",93
"{'herb & pepper', 'ground beef'}",118
"{'herb & pepper', 'spaghetti'}",120
"{'herb & pepper', 'mineral water'}",128
{'grated cheese'},363
"{'french fries', 'grated cheese'}",77
"{'chocolate', 'grated cheese'}",82
"{'grated cheese', 'ground beef'}",85
"{'grated cheese', 'spaghetti'}",118
"{'grated cheese', 'mineral water'}",130
{'soup'},367
"{'chocolate', 'soup'}",75
"{'spaghetti', 'soup'}",107
"{'soup', 'milk'}",111
"{'soup', 'mineral water'}",173
{'cooking oil'},372
"{'milk', 'cooking oil'}",85
"{'eggs', 'cooking oil'}",88
"{'chocolate', 'cooking oil'}",102
"{'spaghetti', 'cooking oil'}",118
"{'mineral water', 'cooking oil'}",150
{'whole wheat rice'},403
"{'whole wheat rice', 'french fries'}",79
"{'whole wheat rice', 'milk'}",89
"{'whole wheat rice', 'chocolate'}",89
"{'whole wheat rice', 'spaghetti'}",105
"{'whole wheat rice', 'mineral water'}",144
{'turkey'},430
"{'french fries', 'turkey'}",78
"{'burgers', 'turkey'}",80
"{'turkey', 'milk'}",85
"{'chocolate', 'turkey'}",85
"{'green tea', 'turkey'}",88
"{'spaghetti', 'turkey'}",123
"{'eggs', 'turkey'}",129
"{'turkey', 'mineral water'}",143
{'escalope'},430
"{'spaghetti', 'escalope'}",104
"{'french fries', 'escalope'}",111
"{'chocolate', 'escalope'}",121
"{'escalope', 'mineral water'}",124
{'chicken'},433
"{'french fries', 'chicken'}",83
"{'green tea', 'chicken'}",89
"{'eggs', 'chicken'}",105
"{'chocolate', 'chicken'}",109
"{'chicken', 'milk'}",110
"{'spaghetti', 'chicken'}",127
"{'chicken', 'mineral water'}",168
{'frozen smoothie'},438
"{'frozen vegetables', 'frozen smoothie'}",75
"{'eggs', 'frozen smoothie'}",80
"{'green tea', 'frozen smoothie'}",82
"{'french fries', 'frozen smoothie'}",104
"{'frozen smoothie', 'milk'}",107
"{'chocolate', 'frozen smoothie'}",110
"{'spaghetti', 'frozen smoothie'}",116
"{'frozen smoothie', 'mineral water'}",149
{'olive oil'},453
"{'olive oil', 'pancakes'}",81
"{'frozen vegetables', 'olive oil'}",85
"{'olive oil', 'eggs'}",89
"{'olive oil', 'ground beef'}",105
"{'olive oil', 'chocolate'}",122
"{'olive oil', 'milk'}",125
"{'olive oil', 'spaghetti'}",168
"{'olive oil', 'spaghetti', 'mineral water'}",76
"{'olive oil', 'mineral water'}",199
{'tomatoes'},476
"{'tomatoes', 'shrimp'}",81
"{'tomatoes', 'ground beef'}",88
"{'french fries', 'tomatoes'}",88
"{'eggs', 'tomatoes'}",90
"{'green tea', 'tomatoes'}",90
"{'tomatoes', 'milk'}",103
"{'chocolate', 'tomatoes'}",105
"{'frozen vegetables', 'tomatoes'}",117
"{'spaghetti', 'tomatoes'}",155
"{'tomatoes', 'mineral water'}",179
{'low fat yogurt'},491
"{'low fat yogurt', 'frozen vegetables'}",75
"{'low fat yogurt', 'milk'}",97
"{'low fat yogurt', 'french fries'}",100
"{'low fat yogurt', 'chocolate'}",108
"{'low fat yogurt', 'spaghetti'}",111
"{'low fat yogurt', 'eggs'}",118
"{'low fat yogurt', 'mineral water'}",168
{'shrimp'},511
"{'french fries', 'shrimp'}",75
"{'pancakes', 'shrimp'}",79
"{'green tea', 'shrimp'}",84
"{'ground beef', 'shrimp'}",86
"{'eggs', 'shrimp'}",106
"{'frozen vegetables', 'shrimp'}",123
"{'milk', 'shrimp'}",132
"{'chocolate', 'shrimp'}",135
"{'spaghetti', 'shrimp'}",157
"{'mineral water', 'shrimp'}",173
{'cake'},534
"{'frozen vegetables', 'cake'}",77
"{'burgers', 'cake'}",85
"{'cake', 'pancakes'}",89
"{'cake', 'milk'}",98
"{'cake', 'chocolate'}",100
"{'cake', 'green tea'}",106
"{'french fries', 'cake'}",112
"{'cake', 'spaghetti'}",136
"{'cake', 'eggs'}",138
"{'cake', 'mineral water'}",194
{'burgers'},589
"{'burgers', 'pancakes'}",77
"{'frozen vegetables', 'burgers'}",79
"{'burgers', 'ground beef'}",90
"{'burgers', 'chocolate'}",127
"{'burgers', 'green tea'}",129
"{'burgers', 'milk'}",132
"{'french fries', 'burgers'}",152
"{'burgers', 'spaghetti'}",157
"{'burgers', 'mineral water'}",179
"{'burgers', 'eggs'}",187
{'pancakes'},646
"{'frozen vegetables', 'pancakes'}",101
"{'pancakes', 'ground beef'}",108
"{'pancakes', 'milk'}",120
"{'green tea', 'pancakes'}",122
"{'french fries', 'pancakes'}",144
"{'chocolate', 'pancakes'}",149
"{'eggs', 'pancakes'}",157
"{'spaghetti', 'pancakes'}",187
"{'spaghetti', 'pancakes', 'mineral water'}",86
"{'pancakes', 'mineral water'}",252
{'frozen vegetables'},672
"{'frozen vegetables', 'green tea'}",108
"{'frozen vegetables', 'ground beef'}",127
"{'french fries', 'frozen vegetables'}",142
"{'frozen vegetables', 'eggs'}",160
"{'frozen vegetables', 'chocolate'}",171
"{'frozen vegetables', 'milk'}",176
"{'frozen vegetables', 'mineral water', 'milk'}",83
"{'frozen vegetables', 'spaghetti'}",202
"{'frozen vegetables', 'spaghetti', 'mineral water'}",90
"{'frozen vegetables', 'mineral water'}",261
{'ground beef'},703
"{'french fries', 'ground beef'}",104
"{'green tea', 'ground beef'}",110
"{'eggs', 'ground beef'}",149
"{'eggs', 'ground beef', 'mineral water'}",75
"{'ground beef', 'milk'}",164
"{'mineral water', 'ground beef', 'milk'}",83
"{'chocolate', 'ground beef'}",172
"{'chocolate', 'ground beef', 'mineral water'}",82
"{'spaghetti', 'ground beef'}",289
"{'spaghetti', 'ground beef', 'mineral water'}",128
"{'ground beef', 'mineral water'}",304
{'green tea'},870
"{'green tea', 'milk'}",129
"{'chocolate', 'green tea'}",175
"{'eggs', 'green tea'}",181
"{'spaghetti', 'green tea'}",199
"{'french fries', 'green tea'}",209
"{'green tea', 'mineral water'}",223
{'milk'},878
"{'french fries', 'milk'}",175
"{'eggs', 'milk'}",218
"{'mineral water', 'eggs', 'milk'}",97
"{'chocolate', 'milk'}",230
"{'chocolate', 'spaghetti', 'milk'}",82
"{'mineral water', 'chocolate', 'milk'}",103
"{'spaghetti', 'milk'}",259
"{'mineral water', 'spaghetti', 'milk'}",117
"{'mineral water', 'milk'}",350
{'french fries'},994
"{'french fries', 'spaghetti'}",206
"{'french fries', 'spaghetti', 'mineral water'}",76
"{'french fries', 'chocolate'}",238
"{'french fries', 'eggs'}",240
"{'french fries', 'mineral water'}",248
{'chocolate'},1050
"{'chocolate', 'eggs'}",239
"{'spaghetti', 'chocolate', 'eggs'}",79
"{'chocolate', 'eggs', 'mineral water'}",99
"{'chocolate', 'spaghetti'}",287
"{'chocolate', 'spaghetti', 'mineral water'}",118
"{'chocolate', 'mineral water'}",374
{'eggs'},1072
"{'spaghetti', 'eggs'}",266
"{'spaghetti', 'eggs', 'mineral water'}",107
"{'eggs', 'mineral water'}",361
{'spaghetti'},1186
"{'spaghetti', 'mineral water'}",439
{'mineral water'},1545
